xpos,ypos,pred,target,type,match_idx
0.30026,0.39075,6,6,0,0
0.36304,0.32923,6,0,0,1
0.17511,0.55822,2,2,0,2
0.14396,0.65610,0,0,0,3
0.26185,0.44905,0,2,0,4
0.09331,0.64352,1,1,0,5
0.31183,0.69178,1,5,0,6
0.61680,0.84536,4,3,0,7
0.44189,0.81859,3,3,0,8
0.23750,0.24233,6,6,0,9
0.24237,0.45491,0,6,0,10
0.27206,0.55987,0,2,0,11
0.25729,0.63508,1,2,0,12
0.63943,0.68817,4,2,0,13
0.05047,0.64843,2,2,0,14
0.14189,0.51924,2,2,0,15
0.18602,0.70570,1,1,0,16
0.27513,0.47925,2,2,0,17
0.51116,0.57423,5,5,0,18
0.23889,0.51883,0,6,0,19
0.29105,0.22335,6,6,0,20
0.33034,0.51529,2,2,0,21
0.07769,0.60719,2,0,0,22
0.21487,0.48383,2,2,0,23
0.58819,0.00000,6,0,0,24
0.34972,0.16228,6,6,0,25
0.32706,0.83239,5,5,0,26
0.14332,0.41215,6,1,0,27
0.48664,0.99987,4,1,0,28
0.11874,0.37604,2,2,0,29
0.27731,0.70791,1,2,0,30
0.39729,0.53328,6,6,0,31
0.23578,0.72771,1,1,0,32
0.31286,0.66080,1,1,0,33
0.24819,0.29557,6,2,0,34
0.17796,0.35372,2,2,0,35
0.16609,0.60375,3,2,0,36
0.24518,0.18342,6,6,0,37
0.13463,0.48570,2,2,0,38
0.27674,0.52311,0,1,0,39
0.27387,0.32142,6,6,0,40
0.11941,0.64578,0,0,0,41
0.07604,0.33944,2,6,0,42
0.48292,0.69654,4,3,0,43
0.31248,0.41233,6,6,0,44
0.33444,0.16731,6,3,0,45
0.52406,0.57132,5,5,0,46
0.06509,0.50619,2,2,0,47
0.30029,0.71741,5,1,0,48
0.50468,0.81858,0,2,0,49
0.27874,0.27926,6,2,0,50
0.45736,0.06749,6,2,0,51
0.11623,0.34016,2,2,0,52
0.28441,0.24192,2,6,0,53
0.27037,0.74364,5,5,0,54
0.60158,0.44443,4,2,0,55
